일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2022/10/14","182000","6000","3.41","180500","184500","178000","188552","34263075500","8931112190000","49072045"
"2022/10/13","176000","-4500","-2.49","179000","180000","169500","313453","54677149219","8636679920000","49072045"
"2022/10/12","180500","2500","1.40","178000","181500","176000","166675","29872171000","8857504122500","49072045"
"2022/10/11","178000","-13500","-7.05","187500","188000","176500","335329","60307987500","8734824010000","49072045"
"2022/10/07","191500","-9500","-4.73","198000","200500","191000","311611","60411183500","9397296617500","49072045"
"2022/10/06","201000","-1000","-0.50","203000","204500","200500","108788","21964542500","9863481045000","49072045"
"2022/10/05","202000","-12000","-5.61","216000","216000","200500","186576","38159712500","9912553090000","49072045"
"2022/10/04","214000","4000","1.90","212000","215000","210000","99103","21118613000","10501417630000","49072045"
"2022/09/30","210000","4500","2.19","205000","212000","204000","133112","27875568000","10305129450000","49072045"
"2022/09/29","205500","500","0.24","208500","212500","203500","123527","25634865500","10084305247500","49072045"
"2022/09/28","205000","-8000","-3.76","209000","211500","202000","153971","31656377000","10059769225000","49072045"
"2022/09/27","213000","4000","1.91","210500","217500","206500","142792","30290310000","10452345585000","49072045"
"2022/09/26","209000","3500","1.70","202500","210500","201500","195696","40580849000","10256057405000","49072045"
"2022/09/23","205500","-11000","-5.08","217000","218000","205000","187309","39052166500","10084305247500","49072045"
"2022/09/22","216500","-5500","-2.48","218000","218500","214000","137971","29752445000","10624097742500","49072045"
"2022/09/21","222000","-3500","-1.55","224000","225500","219000","153173","33947006000","10893993990000","49072045"
"2022/09/20","225500","-500","-0.22","230000","230500","223000","103739","23464141500","11065746147500","49072045"
"2022/09/19","226000","-13000","-5.44","242000","242000","226000","226781","52039368500","11090282170000","49072045"
"2022/09/16","239000","0","0.00","235500","240500","234000","131065","31194237500","11728218755000","49072045"
"2022/09/15","239000","500","0.21","240500","240500","235500","66639","15852853000","11728218755000","49072045"
"2022/09/14","238500","-8000","-3.25","236500","241500","235000","98958","23610106000","11703682732500","49072045"
"2022/09/13","246500","9500","4.01","242000","247000","241000","122486","30019732500","12096259092500","49072045"
"2022/09/08","237000","3500","1.50","236000","241000","235000","145257","34569315000","11630074665000","49072045"
"2022/09/07","233500","-2000","-0.85","233000","234500","230000","68457","15877015000","11458322507500","49072045"
"2022/09/06","235500","-500","-0.21","237500","241000","233500","67837","16032556500","11556466597500","49072045"
"2022/09/05","236000","4000","1.72","231000","239000","231000","70630","16680067000","11581002620000","49072045"
"2022/09/02","232000","-4000","-1.69","237000","238500","231500","98119","23003014500","11384714440000","49072045"
