일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2022/10/14","165500","7000","4.42","163500","168500","163000","1568930","260614394500","27150123567500","164049085"
"2022/10/13","158500","-3500","-2.16","160500","161000","155000","1487183","234805220608","26001779972500","164049085"
"2022/10/12","162000","3500","2.21","158500","164500","158000","1515631","245057052000","26575951770000","164049085"
"2022/10/11","158500","-1500","-0.94","156500","159500","156000","1835014","289026112192","26001779972500","164049085"
"2022/10/07","160000","-7000","-4.19","164000","167500","159500","2596863","420928449000","26247853600000","164049085"
"2022/10/06","167000","3000","1.83","163500","169000","163000","3477299","579928489700","27396197195000","164049085"
"2022/10/05","164000","-12500","-7.08","170500","176000","164000","6634375","1116428396000","26904049940000","164049085"
"2022/10/04","176500","-17000","-8.79","192000","192000","175500","3753785","681176784500","28954663502500","164049085"
"2022/09/30","193500","-3000","-1.53","191500","198000","190500","924294","179743445146","31743497947500","164049085"
"2022/09/29","196500","-4000","-2.00","203000","205000","196000","612278","122938320500","32235645202500","164049085"
"2022/09/28","200500","-4000","-1.96","202500","203500","198000","579635","115870534500","32891841542500","164049085"
"2022/09/27","204500","0","0.00","202500","206000","199000","641394","129697455000","33548037882500","164049085"
"2022/09/26","204500","-6000","-2.85","205500","208000","204000","513342","105445712500","33548037882500","164049085"
"2022/09/23","210500","4000","1.94","207500","212500","207500","655441","137676988105","34532332392500","164049085"
"2022/09/22","206500","-6500","-3.05","207500","209500","204000","693460","143247816500","33876136052500","164049085"
"2022/09/21","213000","-5000","-2.29","216500","217000","212000","493972","105537566000","34942455105000","164049085"
"2022/09/20","218000","0","0.00","220500","222000","218000","240498","52730338500","35762700530000","164049085"
"2022/09/19","218000","-2000","-0.91","219500","221000","217000","502182","109614070000","35762700530000","164049085"
"2022/09/16","220000","-5500","-2.44","221500","223000","219500","777712","171751838500","36090798700000","164049085"
"2022/09/15","225500","-4500","-1.96","231000","231000","225500","525459","119408351500","36993068667500","164049085"
"2022/09/14","230000","-8500","-3.56","228500","231000","226000","552863","126271455500","37731289550000","164049085"
"2022/09/13","238500","7000","3.02","236000","239500","235500","510894","121612453000","39125706772500","164049085"
"2022/09/08","231500","0","0.00","233000","234500","228500","542651","125713310500","37977363177500","164049085"
"2022/09/07","231500","-3500","-1.49","233500","233500","228000","480805","110585849000","37977363177500","164049085"
"2022/09/06","235000","-1000","-0.42","237500","237500","233500","240015","56414784000","38551534975000","164049085"
"2022/09/05","236000","2000","0.85","233500","238000","233500","327916","77288148000","38715584060000","164049085"
"2022/09/02","234000","-2000","-0.85","237500","239000","232500","374672","88117201500","38387485890000","164049085"
"2022/09/01","236000","-4000","-1.67","236000","238000","233000","410984","96556883500","38715584060000","164049085"
"2022/08/31","240000","2000","0.84","234500","240500","232500","424718","100954572000","39371780400000","164049085"
"2022/08/30","238000","4000","1.71","234500","239500","234500","306143","72623366000","39043682230000","164049085"
"2022/08/29","234000","-8000","-3.31","232500","235500","231500","610295","142269559572","38387485890000","164049085"
"2022/08/26","242000","-2500","-1.02","246000","246500","241500","306637","74743388000","39699878570000","164049085"
"2022/08/25","244500","3000","1.24","243000","248500","242000","347778","85344694500","40110001282500","164049085"
"2022/08/24","241500","500","0.21","242000","243500","240500","344838","83245218500","39617854027500","164049085"
"2022/08/23","241000","-4500","-1.83","243500","244500","240000","400035","96856346500","39535829485000","164049085"
"2022/08/22","245500","-2500","-1.01","245000","247000","241500","340467","83326863500","40274050367500","164049085"
"2022/08/19","248000","-2000","-0.80","250500","251000","246000","382703","94968455515","40684173080000","164049085"
"2022/08/18","250000","-8000","-3.10","254000","256000","249000","788467","198255570500","41012271250000","164049085"
"2022/08/17","258000","-1500","-0.58","259000","260000","254500","433453","111654424500","42324663930000","164049085"
"2022/08/16","259500","-6000","-2.26","268500","269000","258000","864710","225691158750","42570737557500","164049085"
"2022/08/12","265500","-2000","-0.75","267500","269500","265000","402713","107088188000","43555032067500","164049085"
"2022/08/11","267500","5500","2.10","269500","271000","266000","517715","138698055500","43883130237500","164049085"
"2022/08/10","262000","-3000","-1.13","262500","266000","261000","317975","83422863000","42980860270000","164049085"
"2022/08/09","265000","6500","2.51","261000","267000","259500","529474","139419758000","43473007525000","164049085"
"2022/08/08","258500","-8500","-3.18","261000","261500","257000","940226","243469917044","42406688472500","164049085"
"2022/08/05","267000","-6500","-2.38","277500","281000","265500","949836","257239417500","43801105695000","164049085"
"2022/08/04","273500","4500","1.67","272500","278000","271000","960547","263195122000","44867424747500","164049085"
"2022/08/03","269000","10000","3.86","256000","271000","255000","831121","221524849000","44129203865000","164049085"
"2022/08/02","259000","0","0.00","260500","260500","254000","551218","141672005900","42488713015000","164049085"
"2022/08/01","259000","0","0.00","260500","261500","256500","532517","137975825650","42488713015000","164049085"
"2022/07/29","259000","12000","4.86","252000","262000","251500","1105156","285999236000","42488713015000","164049085"
"2022/07/28","247000","1000","0.41","251000","255000","245500","564324","140891541500","40520123995000","164049085"
"2022/07/27","246000","1000","0.41","247500","247500","241000","576997","141183155500","40356074910000","164049085"
"2022/07/26","245000","-3000","-1.21","244500","245000","240500","432397","105056845000","40192025825000","164049085"
"2022/07/25","248000","-2000","-0.80","248000","249000","244000","380368","93847756000","40684173080000","164049085"
"2022/07/22","250000","-500","-0.20","250000","253500","247000","465586","116508505500","41012271250000","164049085"
"2022/07/21","250500","4500","1.83","248500","256500","246500","567875","143177360500","41094295792500","164049085"
"2022/07/20","246000","2500","1.03","251000","253500","244500","635582","158622848500","40356074910000","164049085"
"2022/07/19","243500","-3000","-1.22","242500","244000","240000","350932","85006956500","39945952197500","164049085"
"2022/07/18","246500","15500","6.71","234000","247000","233000","986963","239419579500","40438099452500","164049085"
"2022/07/15","231000","-2500","-1.07","234500","234500","228000","826920","190631131500","37895338635000","164049085"
"2022/07/14","233500","-4000","-1.68","232000","236000","231000","611226","142583885500","38305461347500","164049085"
"2022/07/13","237500","4000","1.71","232000","239000","232000","451619","106834636500","38961657687500","164049085"
"2022/07/12","233500","-7000","-2.91","236500","237500","230500","601679","139981478500","38305461347500","164049085"
"2022/07/11","240500","-8500","-3.41","246000","248000","238500","554603","134602736000","39453804942500","164049085"
"2022/07/08","249000","4000","1.63","247000","252500","246000","652395","162485327500","40848222165000","164049085"
