일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2022/10/14","174000","9000","5.45","167000","174500","166500","397532","68384311000","24497784684000","140791866"
"2022/10/13","165000","500","0.30","164500","168500","164000","394813","65522371500","23230657890000","140791866"
"2022/10/12","164500","-500","-0.30","164500","166500","162000","304130","49836144000","23160261957000","140791866"
"2022/10/11","165000","-1000","-0.60","162500","167500","162000","362830","59839023500","23230657890000","140791866"
"2022/10/07","166000","-4000","-2.35","169500","171500","165500","358540","59784412500","23371449756000","140791866"
"2022/10/06","170000","-1500","-0.87","173000","174500","165000","387718","66008510500","23934617220000","140791866"
"2022/10/05","171500","-1500","-0.87","175000","175500","171500","310500","53749122000","24145805019000","140791866"
"2022/10/04","173000","-2500","-1.42","178500","179000","172500","466513","81474737000","24356992818000","140791866"
"2022/09/30","175500","4500","2.63","170000","179000","169500","620054","109024378500","24708972483000","140791866"
"2022/09/29","171000","4500","2.70","171500","174500","169500","538308","92552979500","24075409086000","140791866"
"2022/09/28","166500","1000","0.60","166500","173500","164500","641744","107954010500","23441845689000","140791866"
"2022/09/27","165500","1000","0.61","164500","167500","163000","392273","64891119500","23301053823000","140791866"
"2022/09/26","164500","-3000","-1.79","163500","169500","163500","390936","64866069500","23160261957000","140791866"
"2022/09/23","167500","-1500","-0.89","167500","169000","164000","366220","60832897000","23582637555000","140791866"
"2022/09/22","169000","0","0.00","166000","170500","163000","526895","87751687500","23793825354000","140791866"
"2022/09/21","169000","-6500","-3.70","174000","175000","168000","385767","65532883500","23793825354000","140791866"
"2022/09/20","175500","3000","1.74","175000","176000","173000","263105","45970324500","24708972483000","140791866"
"2022/09/19","172500","-1500","-0.86","175000","177000","172000","260697","45226003000","24286596885000","140791866"
"2022/09/16","174000","-5000","-2.79","176000","176500","173000","342556","59796277000","24497784684000","140791866"
"2022/09/15","179000","-1000","-0.56","180500","181000","178000","331874","59503919500","25201744014000","140791866"
"2022/09/14","180000","-6500","-3.49","180000","181000","176000","473642","84667566500","25342535880000","140791866"
"2022/09/13","186500","2500","1.36","187500","188000","184000","405670","75510190000","26257683009000","140791866"
"2022/09/08","184000","5000","2.79","181500","186500","181500","509820","93595513500","25905703344000","140791866"
"2022/09/07","179000","-2000","-1.10","179500","180000","175000","325775","57802448000","25201744014000","140791866"
"2022/09/06","181000","500","0.28","181000","183000","179000","189930","34313935000","25483327746000","140791866"
"2022/09/05","180500","-4000","-2.17","183000","186000","179000","378905","68595855000","25412931813000","140791866"
"2022/09/02","184500","-2000","-1.07","187500","189500","183500","300549","55807777500","25976099277000","140791866"
"2022/09/01","186500","-3000","-1.58","188000","188500","184000","316400","59031162500","26257683009000","140791866"
