종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","2270","190","9.13","2100","2270","2100","265774","586823050","105036334510","46271513"
"095570","AJ네트웍스","KOSPI",,"6930","140","2.06","6820","7000","6680","136519","935554710","324478504350","46822295"
"006840","AK홀딩스","KOSPI",,"12400","350","2.90","12200","12450","12150","8188","100645200","164269756400","13247561"
"054620","APS홀딩스","KOSDAQ","중견기업부","9440","530","5.95","9150","9470","9010","12801","118442230","192521446240","20394221"
"265520","AP시스템","KOSDAQ","우량기업부","17300","1200","7.45","16550","17300","16500","97789","1662371900","264368583300","15281421"
"211270","AP위성","KOSDAQ","벤처기업부","8510","300","3.65","8330","8670","8070","203251","1719983380","128350407040","15082304"
"027410","BGF","KOSPI",,"3170","85","2.76","3100","3195","3100","71473","225971955","303422227470","95716791"
"282330","BGF리테일","KOSPI",,"173500","6500","3.89","168500","173500","166500","28929","4934535000","2998757691000","17283906"
"032790","BNGT","KOSDAQ","관리종목(소속부없음)","4075","0","0.00","0","0","0","0","0","120352455875","29534345"
"138930","BNK금융지주","KOSPI",,"6320","170","2.76","6250","6370","6230","1107688","6994529420","2059910754720","325935246"
"001460","BYC","KOSPI",,"368000","3000","0.82","367500","377500","367500","130","47963500","229858320000","624615"
"001465","BYC우","KOSPI",,"139500","500","0.36","138000","140000","138000","112","15545500","30046207500","215385"
"013720","CBI","KOSDAQ","벤처기업부","354","-3","-0.84","358","393","352","8634463","3171580698","95700602844","270340686"
"001040","CJ","KOSPI",,"71200","2700","3.94","69100","71500","68700","35190","2490088200","2077402257600","29176998"
"079160","CJ CGV","KOSPI",,"13750","-150","-1.08","14050","14200","13700","314361","4380390100","656025328750","47710933"
"035760","CJ ENM","KOSDAQ","우량기업부","78200","3700","4.97","75900","79100","75900","67303","5254874100","1714859842800","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","26200","300","1.16","26000","26750","25750","2886","75733050","154021206400","5878672"
"00104K","CJ4우(전환)","KOSPI",,"66400","2400","3.75","63600","66500","63600","10540","690712300","280640396800","4226512"
"000120","CJ대한통운","KOSPI",,"81000","3500","4.52","78000","81000","77200","139784","11148751600","1847799864000","22812344"
"011150","CJ씨푸드","KOSPI",,"2590","160","6.58","2440","2605","2440","110535","279555865","93060702070","35930773"
"011155","CJ씨푸드1우","KOSPI",,"26050","900","3.58","24650","26050","24650","85","2148450","5210000000","200000"
"001045","CJ우","KOSPI",,"47150","450","0.96","46700","47200","46250","2147","100103100","106569514450","2260223"
"097950","CJ제일제당","KOSPI",,"404500","16000","4.12","389500","408000","389000","25952","10416516500","6089418237000","15054186"
"097955","CJ제일제당 우","KOSPI",,"167000","4000","2.45","164000","167500","163500","825","136811500","221681311000","1327433"
"051500","CJ프레시웨이","KOSDAQ","중견기업부","30550","750","2.52","30650","30650","29800","40120","1216172900","362676952300","11871586"
"058820","CMG제약","KOSDAQ","중견기업부","2105","110","5.51","2035","2110","2035","850907","1767584130","292368173620","138892244"
"023460","CNH","KOSDAQ","중견기업부","2430","-170","-6.54","2600","2650","2365","373756","928590725","90396000000","37200000"
"056730","CNT85","KOSDAQ","관리종목(소속부없음)","3100","0","0.00","0","0","0","0","0","110449763600","35628956"
"065770","CS","KOSDAQ","벤처기업부","1430","100","7.52","1330","1435","1330","36231","50490180","27757915900","19411130"
"083660","CSA 코스믹","KOSDAQ","중견기업부","1155","-75","-6.10","1250","1250","1125","242177","279073770","45566127915","39451193"
"000590","CS홀딩스","KOSPI",,"53000","1600","3.11","51700","53300","51700","1800","94638400","61187546000","1154482"
"012030","DB","KOSPI",,"731","21","2.96","719","737","719","137336","100074922","147058145023","201173933"
"404950","DB금융스팩10호","KOSDAQ","SPAC(소속부없음)","2040","-20","-0.97","2070","2070","2040","56311","115297485","11913600000","5840000"
"367340","DB금융스팩8호","KOSDAQ","SPAC(소속부없음)","2055","0","0.00","2060","2060","2035","16898","34501945","12432750000","6050000"
"367360","DB금융스팩9호","KOSDAQ","SPAC(소속부없음)","2070","-20","-0.96","2090","2090","2055","6834","14097570","10018800000","4840000"
"016610","DB금융투자","KOSPI",,"4380","80","1.86","4310","4435","4310","43525","190162360","185915183820","42446389"
"005830","DB손해보험","KOSPI",,"56800","2200","4.03","54800","57400","53800","156370","8834051500","4021440000000","70800000"
"000990","DB하이텍","KOSPI",,"40900","1800","4.60","40300","41000","39650","630496","25468465400","1815902249200","44398588"
"000995","DB하이텍1우","KOSPI",,"80300","-1600","-1.95","81800","81800","80000","1507","121358700","9018974800","112316"
"139130","DGB금융지주","KOSPI",,"7100","100","1.43","7130","7180","7060","422768","3017021180","1200935414300","169145833"
"001530","DI동일","KOSPI",,"14150","650","4.81","14000","14250","13850","52769","740554950","361791020500","25568270"
"000210","DL","KOSPI",,"58600","2100","3.72","57500","58900","57200","38247","2232923500","1228014802400","20955884"
"001880","DL건설","KOSPI",,"14750","850","6.12","14150","14850","14050","46031","668640750","325285939000","22053284"
"000215","DL우","KOSPI",,"33100","600","1.85","33000","34900","32200","2150","71078800","55810406500","1686115"
"375500","DL이앤씨","KOSPI",,"36100","2050","6.02","35000","36550","34600","253850","9130523200","1396839790300","38693623"
"37550L","DL이앤씨2우(전환)","KOSPI",,"27150","800","3.04","26350","27350","26350","4333","117388400","57339469650","2111951"
"37550K","DL이앤씨우","KOSPI",,"23550","750","3.29","22950","23800","22950","3562","83677300","49781991750","2113885"
"068790","DMS","KOSDAQ","우량기업부","4560","220","5.07","4420","4575","4400","73830","331579285","112053158160","24573061"
"007340","DN오토모티브","KOSPI",,"61400","2100","3.54","60100","61600","59900","13434","821124800","613631907000","9994005"
"004840","DRB동일","KOSPI",,"4045","100","2.53","4000","4070","4000","11295","45607035","80616850000","19930000"
"241520","DSC인베스트먼트","KOSDAQ","벤처기업부","3555","155","4.56","3435","3610","3435","121772","430488420","98869537665","27811403"
"155660","DSR","KOSPI",,"4490","60","1.35","4455","4565","4455","43305","195088340","71840000000","16000000"
"069730","DSR제강","KOSPI",,"4080","160","4.08","3955","4095","3955","22411","90521415","58752000000","14400000"
"017940","E1","KOSPI",,"42350","200","0.47","43000","43000","42200","8655","367980500","290521000000","6860000"
"245620","EDGC","KOSDAQ","기술성장기업부","2100","45","2.19","2180","2330","2100","9731054","21674405080","176559455100","84075931"
"037370","EG","KOSDAQ","중견기업부","7200","330","4.80","6910","7250","6910","27908","199505430","62099798400","8624972"
"278990","EMB","KONEX","일반기업부","4700","200","4.44","4700","4700","4700","1","4700","17052643400","3628222"
"365550","ESR켄달스퀘어리츠","KOSPI",,"4185","-85","-1.99","4220","4310","4055","385808","1607895020","891777465000","213089000"
"050120","ES큐브","KOSDAQ","중견기업부","3750","105","2.88","3655","3795","3655","26219","97694970","50865322500","13564086"
"084180","EV수성","KOSDAQ","중견기업부","1615","55","3.53","1630","1660","1575","1288547","2086804210","101221392775","62675785"
"383220","F&F","KOSPI",,"139000","4000","2.96","137000","141000","136500","96539","13414730500","5324683425000","38307075"
"007700","F&F홀딩스","KOSPI",,"13800","450","3.37","13600","13950","13450","14742","202516650","539778264600","39114367"
"214270","FSN","KOSDAQ","중견기업부","3290","390","13.45","2975","3700","2975","5428945","19069491345","91805976080","27904552"
"130500","GH신소재","KOSDAQ","중견기업부","3245","160","5.19","3100","3280","3100","90774","290422720","47198693740","14545052"
"114090","GKL","KOSPI",,"15250","350","2.35","15050","15400","14900","152766","2323133200","943298967500","61855670"
"900290","GRT","KOSDAQ","외국기업(소속부없음)","2970","140","4.95","2805","3000","2790","371729","1079039375","200103750000","67375000"
"078930","GS","KOSPI",,"45950","2300","5.27","43750","46250","43700","214008","9777832700","4269461619100","92915378"
"083450","GST","KOSDAQ","우량기업부","19850","850","4.47","19700","20000","19500","30267","597486400","184957238250","9317745"
