날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2021.10.6,100,13.5,12.6,14.6
2021.10.7,100,14.8,11.3,18.7
2021.10.8,100,14.3,12.8,15.3
2021.10.9,100,16.2,14,17.6
2021.10.10,100,18.3,15.1,23
2021.10.11,100,10.7,9.6,15.1
2021.10.12,100,11.4,10.1,12.8
2021.10.13,100,12.3,9.8,15.1
2021.10.14,100,14.7,9.8,20.1
2021.10.15,100,12.2,10.8,13.6
2021.10.16,100,7.5,-0.4,12
2021.10.17,100,1,-5,8.7
2021.10.18,100,4.6,-4.4,13.1
2021.10.19,100,5.6,2.9,11.8
2021.10.20,100,3.9,-0.9,9.4
2021.10.21,100,3.5,-0.7,10.3
2021.10.22,100,3.4,-1.2,9.5
2021.10.23,100,4.3,-3.3,14
2021.10.24,100,4.4,-3.1,14.9
2021.10.25,100,4.1,-3.1,15.3
2021.10.26,100,6.8,-3.3,17
2021.10.27,100,9.7,5.3,14.9
2021.10.28,100,4.7,-2.6,13.2
2021.10.29,100,4.3,-1.3,12.5
2021.10.30,100,5.6,-0.7,14.4
2021.10.31,100,5.9,-2,16.5
2021.11.1,100,7.6,0.5,13.3
2021.11.2,100,5.1,-2.5,11.4
2021.11.3,100,7.6,1.3,14.3
2021.11.4,100,5,-1.4,14.2
2021.11.5,100,4.7,-2.8,15.1
2021.11.6,100,4.9,-2.3,14.3
2021.11.7,100,5.9,-0.7,12.8
2021.11.8,100,6,0,14.1
2021.11.9,100,-0.2,-1,0.7
2021.11.10,100,-1,-3.5,0.2
2021.11.11,100,-0.2,-2.5,3.3
2021.11.12,100,-0.9,-3.8,3.2
2021.11.13,100,3,-2.8,8.3
2021.11.14,100,6.6,4,9.8
2021.11.15,100,4,-0.3,11.3
2021.11.16,100,2.9,-3.7,10.5
2021.11.17,100,1.3,-6.9,9.4
2021.11.18,100,6.9,0.6,9.3
2021.11.19,100,7.8,0.9,12.3
2021.11.20,100,4.8,-0.5,13.9
2021.11.21,100,5.9,-0.2,12.3
2021.11.22,100,-1.7,-6.1,8.2
2021.11.23,100,-5.4,-8.4,-2.5
2021.11.24,100,-1.1,-6.2,2.4
2021.11.25,100,2.1,-1.3,5.3
2021.11.26,100,-1,-4.5,3.4
2021.11.27,100,-3.6,-10.7,5.4
2021.11.28,100,0.1,-9.7,9.9
2021.11.29,100,3.5,-1.3,10.7
2021.11.30,100,1,-3.8,5
2021.12.1,100,-6.7,-8.9,-3.8
2021.12.2,100,-3.9,-10.2,0.1
2021.12.3,100,-2.2,-7,0.6
2021.12.4,100,-3.9,-9,1.1
2021.12.5,100,-3.3,-11.4,5.8
2021.12.6,100,-0.7,-7.9,9
2021.12.7,100,-1,-6.2,3
2021.12.8,100,-0.4,-5.7,7.9
2021.12.9,100,-0.7,-6.7,7.5
2021.12.10,100,2.3,-4.2,8.8
2021.12.11,100,2.2,-1.3,8.1
2021.12.12,100,-1.9,-8,2
2021.12.13,100,-6.4,-10.9,0.2
2021.12.14,100,-1.7,-7.4,0.8
2021.12.15,100,2,0.4,3.7
2021.12.16,100,1.6,-0.5,5.4
2021.12.17,100,-8.6,-15.7,0.8
2021.12.18,100,-9.6,-16.9,-4.6
2021.12.19,100,-5.1,-9.7,-2.5
2021.12.20,100,1.6,-2.8,3.2
2021.12.21,100,2.3,-3.7,6.1
2021.12.22,100,-2.5,-8.7,3.9
2021.12.23,100,-2.9,-9.4,4.1
2021.12.24,100,-2.9,-6.5,1.5
2021.12.25,100,-12,-17.7,-3.8
2021.12.26,100,-16.2,-21.2,-11.2
2021.12.27,100,-10.5,-17.3,-4.7
2021.12.28,100,-5.6,-11.9,-0.7
2021.12.29,100,-2.7,-5.4,-0.7
2021.12.30,100,-8.7,-11.7,-5.4
2021.12.31,100,-11.8,-14.7,-7.3
2022.1.1,100,-9.5,-18.5,-0.3
2022.1.2,100,-4.8,-11,-0.4
2022.1.3,100,-6.9,-12.8,-3.1
2022.1.4,100,-5.7,-13.1,-0.1
2022.1.5,100,-7.9,-16.3,-1.2
2022.1.6,100,-6.8,-12.7,2.1
2022.1.7,100,-7,-16.5,3.1
2022.1.8,100,-4,-10.4,0.6
2022.1.9,100,-3,-7.7,1.7
2022.1.10,100,-4.4,-12.4,3.5
2022.1.11,100,-9.3,-14.4,-4.4
2022.1.12,100,-11.8,-17.5,-5.6
2022.1.13,100,-11.8,-14.7,-8.2
2022.1.14,100,-9.5,-16.9,-0.8
2022.1.15,100,-5.1,-12.4,1.5
2022.1.16,100,-5,-10.7,-1.9
2022.1.17,100,-10,-14.7,-6.3
2022.1.18,100,-10.3,-15.9,-2.9
2022.1.19,100,-9.7,-14.7,-3.8
2022.1.20,100,-9.8,-15.9,-4.3
2022.1.21,100,-10.6,-20.4,-0.4
2022.1.22,100,-4.6,-15.5,3.5
2022.1.23,100,-1.8,-4.7,3.4
2022.1.24,100,-3.5,-6.9,-1.8
2022.1.25,100,-3.2,-7.1,-1.2
2022.1.26,100,-2.8,-5.9,1.2
2022.1.27,100,-5.7,-13.1,3.2
2022.1.28,100,-7,-14.2,0.8
2022.1.29,100,-7.6,-13.5,-1
